Kinase	Substrate	Score
PAK1	HNRPK	22.21
PAK1	IRF3	40.66
PAK1	KCNIP4	8.83
PAK1	LIG1	2.64
PAK1	LIMK1	100
PAK1	LOC93349	2.35
PAK1	MAGEA2B	2.35
PAK1	MAGEA9	2.35
PAK1	MAP2K1	100
PAK1	MAPK12	65.45
PAK1	MAPK7	22.21
PAK1	MAX	3.47
PAK1	MBNL3	4.29
PAK1	MDFI	2.62
PAK1	MDM4	2.68
PAK1	MEN1	40.66
PAK1	MGC27016	2.35
PAK1	MTA1	40.66
PAK1	MYLK	100
PAK1	MYOD1	3.47
PAK1	NFATC4	2.67
PAK1	OTUD7B	3.45
PAK1	PGAM1	100
PAK1	PGM1	100
PAK1	PHB2	40.66
PAK1	PPP1R13L	1.88
PAK1	PPP2R1A	2.68
PAK1	PRDM1	1.88
PAK1	PRIM2A	2.35
PAK1	PRKACA	41.39
PAK1	RAF1	100
PAK1	RPS6KA2	29.12
PAK1	RUNX1T1	1.89
PAK1	SFRS1	41.39
PAK1	SMAD3	202.75
PAK1	SNAI1	100
PAK1	SOX10	1.88
PAK1	STK16	28.74
PAK1	STMN1	100
PAK1	TRIM16	7.04
PAK1	UPK3A	2.3
PAK1	VIM	100
PAK1	WDR45L	2.3
PAK1	ZBTB44	2.68
PAK1	ZCCHC8	1.85
PAK1	ZDHHC11	2.35
PAK1	ZHX1	2.68
PAK1	ZNF396	4.37
PAK4	ANKS1A	10.03
PAK4	BAD	7.75
PAK4	CBL	18.86
PAK4	CTTN	7.75
PAK4	DCP1A	12.84
PAK4	HMGN1	2.75
PAK4	KHDRBS1	2.75
PAK4	KHDRBS2	2.7
PAK4	LARP1	2.75
PAK4	LUC7L2	1.57
PAK4	MAPK12	7.75
PAK4	MTA1	12.84
PAK4	NFATC4	16.93
PAK4	TP53	12.84
PAK4	WNK1	9.03
PAK4	ZAP70	2.69
PAK4	ZHX1	2.75
PAK6	CBL	18.86
PAK6	MDM2	12.84
PAK6	MDM4	2.75
PAK6	NFATC4	9.03
PAK6	PSPC1	12.84
PAK6	RXRA	1.93
PAK6	SART3	9.03
PAK6	TRIM24	12.84
PBK	GADD45A	2.75
PBK	MDM4	1.93
PBK	MTA1	16.61
PBK	PPP1R13L	9.03
PBK	PPP2R1B	3.61
PBK	ZHX1	1.93
PDGFRB	FYN	100
PDGFRB	MTA1	12.84
PDGFRB	PTPN11	100
PDIK1L	C11orf9	1.93
PDIK1L	HCLS1	3.24
PDIK1L	NEUROD1	3.24
PDIK1L	ZHX1	18.32
PDK3	C21orf66	1.75
PDK3	PDHA1	100
PDPK1	ASCC1	1.95
PDPK1	BMX	22.91
PDPK1	CSDE1	1.95
PDPK1	CTTN	22.91
PDPK1	DDEF2	43.92
PDPK1	DDEFL1	2.42
PDPK1	EEF1D	4.1
PDPK1	EIF2AK2	3.11
PDPK1	EIF4A3	18.2
PDPK1	EIF4ENIF1	2.04
PDPK1	EIF4H	1.95
PDPK1	FGR	4.1
PDPK1	FLT1	31.98
PDPK1	HDLBP	149.36
PDPK1	HLCS	3.13
PDPK1	HNRPK	3.11
PDPK1	MAPK12	16.11
PDPK1	MAPK7	3.11
PDPK1	MDM2	9.71
PDPK1	MDM4	2.68
PDPK1	MLX	2.04
PDPK1	NIPBL	2.68
PDPK1	NOC2L	3.47
PDPK1	PDHA1	100
PDPK1	PDLIM5	2.64
PDPK1	PRKAR1A	4.02
PDPK1	RPA1	3.54
PDPK1	SCC-112	3.11
PDPK1	SMAD4	18.2
PDPK1	SMAD7	17.86
PDPK1	TBC1D22A	3.19
PDPK1	TRIP10	43.92
PDPK1	XPO1	13.8
PDPK1	YWHAH	2505.91
PDPK1	ZAP70	29.65
PIK3C3	ANKS1A	5.45
PIK3C3	CPSF3	2.75
PIK3C3	FUSIP1	12.84
PIK3C3	MDM4	2.75
PIK3C3	MYF6	1.93
PIK3C3	PINX1	1.57
PIK3C3	SFRS4	2.75
PIK3R4	ANKS1A	5.45
PIK3R4	CAMKK1	4.46
PIK3R4	PRKCD	12.61
PIM1	CDC25A	100
PIM1	CSDC2	3.07
PIM1	CSRP3	1.88
PIM1	CTTN	4.29
PIM1	DDEFL1	4.95
PIM1	EIF2AK2	22.21
PIM1	EIF4B	1.85
PIM1	GRRP1	2.3
PIM1	HCLS1	3.45
PIM1	HLCS	6.91
PIM1	LZTFL1	1.65
PIM1	MTA1	2.62
PIM1	NEUROD1	1.88
PIM1	NFATC4	2.67
PIM1	PAGE4	2.35
PIM1	RAD23B	2.67
PIM1	RAP1A	134.63
PIM1	RUVBL2	2.67
PIM1	SOX10	2.67
PIM1	SP100	3.47
PIM1	TSC22D3	1.85
PIM1	VHL	2.62
PIM2	C19orf2	1.79
PIM2	C21orf66	1.75
PIM2	CRK	13.27
PIM2	EIF4ENIF1	12.61
PIM2	PUM1	7.75
PIM2	R3HDM2	2.75
PIM2	RBPMS	1.57
PIM2	RPS6KA2	4.46
PIM2	SFRS16	2.75
PIM2	ZHX1	1.93
PIM2	ZYX	18.86
PINK1	CAMKK1	1.79
PKN1	CSRP3	10.68
PKN1	DDEFL1	1.67
PKN1	EIF4B	2.84
PKN1	HCLS1	20.02
PKN1	HLCS	2.2
PKN1	MBNL3	1.57
PKN1	PPP2R5D	15.18
PKN1	RUVBL2	15.18
PKN1	TBC1D22A	3.85
PKN1	YWHAH	15.83
PKN3	HLCS	1.99
PLK1	ALK	100
PLK1	ANAPC1	100
PLK1	ANAPC4	100
PLK1	ANAPC7	100
PLK1	BMX	11.55
PLK1	BRCA2	100
PLK1	CCNB1	100
PLK1	CDC23	100
PLK1	CDC25C	100
PLK1	CDC27	100
PLK1	CHEK2	2848.71/100
PLK1	IRS1	100
PLK1	MAPK8	4.39
PLK1	MLX	4.19
PLK1	NLP	100
PLK1	NUDC	100
PLK1	PIN1	100
PLK1	PINX1	4.39
PLK1	PKMYT1	100
PLK1	RAGE	8.27
PLK1	RPS6KA2	3.24
PLK1	SCC-112	4.39
PLK1	TPT1	100
PLK1	UHMK1	3.24
PLK1	WEE1	100
PLK1	ZHX1	17.99
PLK1	ZNF223	1.93
PLK3	BRCA1	12.84
PLK3	CDC25C	100
PLK3	ETS1	2.7
PLK3	MTA1	12.84
PLK3	XRCC1	2.7
PNCK	HLCS	1.99
PNCK	MDM2	3.69
PNCK	PLCD4	3.69
PNCK	PPP2R5D	3.69
PNCK	ZAP70	1.99
PRKAA1	CDK2	9.03
PRKAA1	CSDE1	7.61
PRKAA1	HCLS1	12.84
PRKAA1	MAPK12	5.45
PRKAA1	MAPK8	1.57
PRKAA1	PPP2R1A	2.75
PRKAA1	PPP2R1B	1.57
PRKAA1	PRKACA	12.84
PRKAA1	RAD51	2.75
PRKAA1	RIPK3	7.61
PRKAA2	ARID3A	3.18
PRKAA2	C11orf9	1.9
PRKAA2	CAMKK1	3.24
PRKAA2	COPS6	3.18
PRKAA2	CSDE1	11.55
PRKAA2	DDEFL1	1.61
PRKAA2	EEF1D	4.31
PRKAA2	EIF4A3	3.24
PRKAA2	HCLS1	3.18
PRKAA2	LUZP1	2.5
PRKAA2	MAPK8	4.39
PRKAA2	MDM2	7.46
PRKAA2	NFATC4	3.24
PRKAA2	NOL7	1.9
PRKAA2	PPP1R13L	3.24
PRKAA2	PRKACA	50.32
PRKAA2	PSMA6	50.32
PRKAA2	RPS6KA2	2.28
PRKAA2	SNUPN	3.18
PRKAA2	TBX20	1.93
PRKAA2	TRIM24	50.32
PRKAA2	UHMK1	3.24
PRKAA2	ZMYM3	1.9
PRKAA2	ZYX	3.07
PRKACA	ACACA	100
PRKACA	ARID3A	34.96
PRKACA	BAD	2936.3/100
PRKACA	BMI1	2.25
PRKACA	C13orf15	3.63
PRKACA	C19orf2	3.69
PRKACA	C21orf66	3.63
PRKACA	CAMKK1	1.58/100
PRKACA	CBFA2T3	5.54
PRKACA	CBL	67.58
PRKACA	CDCA7L	3.69
PRKACA	CHAF1B	2.25
PRKACA	CIAO1	10.19
PRKACA	CRIP2	4.26
PRKACA	CSDC2	4.87
PRKACA	CSDE1	18.88
PRKACA	CSRP3	2.25
PRKACA	CTTN	18.54
PRKACA	DAXX	34.33
PRKACA	DDEF2	28.62
PRKACA	EIF4ENIF1	2.21
PRKACA	EXOSC5	1.58
PRKACA	FIP1L1	7.87
PRKACA	FYN	7.31
PRKACA	GAS7	1.57
PRKACA	HCLS1	34.96
PRKACA	HLCS	1.99
PRKACA	HNRPK	4.26
PRKACA	ID2	34.96
PRKACA	IRF3	34.96
PRKACA	LARP1	7.73
PRKACA	LRRFIP1	2.21
PRKACA	MATR3	7.87
PRKACA	MDFI	2.21
PRKACA	MDM4	5.54
PRKACA	NASP	1.58
PRKACA	NCOA4	7.73
PRKACA	NEUROD1	34.96
PRKACA	NFATC3	34.96
PRKACA	NFATC4	34.96/100
PRKACA	NPM1	34.96
PRKACA	NRIP2	1.58
PRKACA	PHF17	1.58
PRKACA	PPP1R13L	34.33
PRKACA	PPP1R8	5436.3/100
PRKACA	PRDX5	1.57
PRKACA	PRKAR1A	858.24
PRKACA	PSMA8	2.6
PRKACA	RBM19	7.73
PRKACA	RCHY1	2.21
PRKACA	RGS14	1224.62/100
PRKACA	RNUXA	2.25
PRKACA	RUNX1T1	7.87
PRKACA	RUVBL2	34.96
PRKACA	RXRA	7.87
PRKACA	SAFB2	34.33
PRKACA	SIP1	1.58
PRKACA	SMARCC2	7.87
PRKACA	SMC3	2.25
PRKACA	SNUPN	2.25
PRKACA	STUB1	18.88
PRKACA	TAF10	45.24
PRKACA	TRIM28	7.87
PRKACA	TRIP10	3187.8
PRKACA	TTF2	2.25
PRKACA	VHL	34.33
PRKACA	XPO1	34.96
PRKACA	XRCC4	7.87
PRKACA	YWHAE	24.43
PRKACA	YWHAH	18.54
PRKACA	ZHX1	7.73
PRKACA	ZYX	67.58
PRKACB	HCLS1	2.21
PRKACB	HLCS	1.96
PRKACB	MBNL3	2.6
PRKACB	MTA1	1.58
PRKACB	OTUD7B	2.21
PRKCA	ACO1	100
PRKCA	ADD1	100
PRKCA	ADD2	100
PRKCA	ADRBK1	100
PRKCA	AHR	100
PRKCA	ANKS1A	66.64
PRKCA	ANXA1	100
PRKCA	ANXA2	100
PRKCA	BDKRB2	100
PRKCA	BFAR	15.62
PRKCA	BNC1	100
PRKCA	C5AR1	100
PRKCA	CASR	100
PRKCA	CCDC40	1.65
PRKCA	CD226	100
PRKCA	CD44	100
PRKCA	CD5	100
PRKCA	CDKN1A	100
PRKCA	CFTR	100
PRKCA	CHGB	15.62
PRKCA	CSDE1	4.22
PRKCA	CSRP1	2.68
PRKCA	CSRP3	29.12
PRKCA	CTTN	65.45
PRKCA	DAB2	100
PRKCA	DGKD	100
PRKCA	EGFR	100
PRKCA	EIF2B5	29.12
PRKCA	EIF4A3	2.67
PRKCA	EIF4B	22.21
PRKCA	EIF4H	4.22
PRKCA	EIF6	100
PRKCA	EP300	100
PRKCA	FGF2	100
PRKCA	FIP1L1	2.68
PRKCA	FLJ37078	2.35
PRKCA	GMFB	100
PRKCA	GNAZ	100
PRKCA	GPBP1L1	1.89
PRKCA	GPM6A	100
PRKCA	GRIN2B	100
PRKCA	HCLS1	29.12
PRKCA	HPCA	1.85
PRKCA	HRH1	100
PRKCA	INSR	100
PRKCA	ITGB2	100
PRKCA	ITGB4	100
PRKCA	KCNC4	100
PRKCA	KCNIP2	20.11
PRKCA	KIT	100
PRKCA	LOC653972	2.35
PRKCA	LZTFL1	3.04
PRKCA	MAGEB6	2.35
PRKCA	MARCKS	100
PRKCA	MARK2	100
PRKCA	MGC27016	1.65
PRKCA	MTA1	29.12
PRKCA	MYH9	100
PRKCA	NCF1	100
PRKCA	NCF4	100
PRKCA	NDUFB2	2.35
PRKCA	NFATC1	100
PRKCA	NFATC4	29.12
PRKCA	NMRAL1	2.35
PRKCA	PAGE4	1.65
PRKCA	PEBP1	100
PRKCA	PITPNA	100
PRKCA	PLAU	100
PRKCA	PLCB3	100
PRKCA	PLCG1	100
PRKCA	PLD2	100
PRKCA	PLEK	100
PRKCA	PPP1R14A	100
PRKCA	PPP1R14D	100
PRKCA	PRKD1	100
PRKCA	PRKG1	100
PRKCA	PSCD2	100
PRKCA	PSEN1	100
PRKCA	PTGIR	100
PRKCA	PTPN1	100
PRKCA	PTPN12	100
PRKCA	PTPN6	100
PRKCA	RGS7	100
PRKCA	RPS6KB2	100
PRKCA	RXRG	1.89
PRKCA	SARS	4.29
PRKCA	SH3BP2	100
PRKCA	SLC9A3R1	100
PRKCA	SMC3	2.67
PRKCA	SNAP23	100
PRKCA	SNUPN	2.67
PRKCA	SPN	100
PRKCA	SRA1	2.67
PRKCA	SRF	100
PRKCA	TACSTD2	100
PRKCA	TBC1D10B	2.35
PRKCA	TBXA2R	100
PRKCA	TCEAL6	2.35
PRKCA	TFRC	100
PRKCA	TGFB1I1	29.12
PRKCA	THOC5	100
PRKCA	TRIM24	29.12
PRKCA	TRIP10	312.21
PRKCA	TRPC3	100
PRKCA	TRPV6	100
PRKCA	UBE2L3	15.62
PRKCA	VCL	100
PRKCA	ZHX1	2.68
PRKCA	ZYX	13.06
PRKCB	PHF17	1.75
PRKCB	UHMK1	1.75
PRKCD	ARID3A	2.25
PRKCD	CAMKK1	34.96
PRKCD	CDK9	10.19
PRKCD	CSRP3	1.58
PRKCD	EIF4A3	2.91
PRKCD	EIF4ENIF1	2.91
PRKCD	EP300	100
PRKCD	ERF	7.73
PRKCD	HCLS1	80.43
PRKCD	HLCS	1.96
PRKCD	HNRPK	663.15/100
PRKCD	IL6ST	100
PRKCD	IRS1	100
PRKCD	ITGB2	100
PRKCD	KCNJ4	100
PRKCD	KRT8	100
PRKCD	LIMK2	100
PRKCD	LRRFIP1	2.97
PRKCD	MET	100
PRKCD	MUC1	100
PRKCD	NEUROD1	24.59
PRKCD	NPM1	34.33
PRKCD	PEBP1	100
PRKCD	PRKAR1A	4.26
PRKCD	PRKCD	14.16
PRKCD	PRKD1	100
PRKCD	PTPRA	100
PRKCD	RPS6	100
PRKCD	RPS6KB2	100
PRKCD	SMPX	2.6
PRKCD	SRXN1	1.99
PRKCD	TSC22D4	7.87
PRKCD	TWIST1	5.54
PRKCD	UBE2B	2.6
PRKCD	WWTR1	24.59
PRKCD	YWHAB	100
PRKCH	CTTN	2.69
PRKCH	HNRPK	1.57
PRKCH	ITGB2	100
PRKCH	NPM1	12.61
PRKCH	PRKD1	100
PRKCH	ZAP70	29.72
PRKCI	ABI2	1.57
PRKCI	BMX	18.88
PRKCI	C13orf15	3.69
PRKCI	CSDC2	2.6
PRKCI	DDEFL1	1.99
PRKCI	EIF2AK2	5.52
PRKCI	EIF4A3	2.91
PRKCI	ENO1	87.47
PRKCI	ETS1	7.87
PRKCI	HCLS1	2.21
PRKCI	MDM2	34.96
PRKCI	MDM4	5.54
PRKCI	MLLT4	4.19
PRKCI	MLX	2.25
PRKCI	MTA1	2.91
PRKCI	NCL	10.19
PRKCI	NRIP2	1.58
PRKCI	OTUD7B	2.91
PRKCI	PIR	10.19
PRKCI	RPA2	7.73
PRKCI	RPS6KB2	100
PRKCI	SFRS2	10.19
PRKCI	SOX10	2.25
PRKCI	ZYX	4.28
PRKCQ	AKAP10	1.91
PRKCQ	CBL	152.07
PRKCQ	CHGB	2.19
PRKCQ	EIF2AK2	3.11
PRKCQ	ICAM3	100
PRKCQ	IRS1	100
PRKCQ	KHDRBS1	2.68
PRKCQ	MSN	100
PRKCQ	MTA1	13.8
PRKCQ	NUAK1	2.19
PRKCQ	RASGRP3	100
PRKCQ	STK39	100
PRKCQ	TRIM26	2.38
PRKCQ	TRIP10	4.02
PRKCQ	WIPF1	100
PRKCZ	ADD1	100
PRKCZ	ADD2	100
PRKCZ	ANKS1A	1.95
PRKCZ	ANXA2	31.98
PRKCZ	ARID3A	17.86
PRKCZ	BFAR	3.11
PRKCZ	CASP9	100
PRKCZ	CBL	152.07
PRKCZ	CSDE1	16.11
PRKCZ	CTTN	22.5
PRKCZ	DAXX	4.8
PRKCZ	DDB1	17.86
PRKCZ	DDEF2	61.33
PRKCZ	DDEFL1	2.42
PRKCZ	FGR	3.11
PRKCZ	GEM	100
PRKCZ	GSN	16.11
PRKCZ	HCLS1	4.8
PRKCZ	HLCS	2.42
PRKCZ	HNRPK	3.11
PRKCZ	IRF3	13.8
PRKCZ	IRS1	100
PRKCZ	LARP1	2.64
PRKCZ	MTA1	9.71
PRKCZ	NASP	13.8
PRKCZ	PDC	3.11
PRKCZ	PPP1R13L	13.8
PRKCZ	PPP1R14A	100
PRKCZ	PSMA6	13.8
PRKCZ	RAB14	2.06
PRKCZ	RELA	100
PRKCZ	RPS6KA2	13.8
PRKCZ	RPS6KB2	100
PRKCZ	RUVBL2	9.71
PRKCZ	SF3B1	2.68
PRKCZ	SFRS1	13.8
PRKCZ	SNRP70	1.89
PRKCZ	SPAG7	1.89
PRKCZ	SRXN1	2.42
PRKCZ	STIP1	9.71
PRKCZ	STUB1	1.91
PRKCZ	TRIM28	1.89
PRKCZ	TRIP10	43.92
PRKCZ	TRIP6	2.19
PRKCZ	TTRAP	1.89
PRKCZ	UBB	13.8
PRKCZ	YWHAB	100
PRKCZ	YWHAH	30.21
PRKCZ	ZYX	6.89
PRKG1	BRCA1	4.46
PRKG1	GNA12	6.8
PRKG1	MAPK7	1.57
PRKG1	MDFI	4.46
PRKG1	RPS6KA2	12.84
PRKX	PRKACB	12.84
PRKX	PRKAR1A	316.02
PRKY	CBL	2.58
PRKY	DAZAP1	1.75
PRKY	GRK5	1.81
PRKY	IRF3	1.79
PRKY	KCNIP2	1.84
PRKY	MDFI	1.75
PRKY	MLX	1.75
PRKY	NFATC3	1.75
PRKY	PHB2	1.75
PRKY	SMAD3	2.63
PRKY	SMAD4	1.75
PRKY	VHL	1.75
PRKY	XPO1	1.75
PRKY	ZYX	1.99
PRPF4B	C11orf9	1.93
PRPF4B	CAMKK1	17.49
PRPF4B	COPS6	4.19
PRPF4B	GPBP1L1	2.71
PRPF4B	MBNL3	5.31
PRPF4B	MDFI	4.19
PRPF4B	RPS6KA2	3.24
PRPF4B	RRAGC	3.24
PRPF4B	TRIM24	4.19
PRPF4B	ZNF485	1.93
PTK2	ACTN1	100
PTK2	BCL3	12.84
PTK2	BMX	847.67/100
PTK2	CDK9	2.75
PTK2	CHGB	1.57
PTK2	COPS6	12.84
PTK2	CSNK1G2	7.75
PTK2	CSRP3	12.84
PTK2	FGR	84.87
PTK2	MAPK12	5.45
PTK2	MDFI	12.84
PTK2	MDM4	2.75
PTK2	MITF	1.93
PTK2	PPP1R13L	9.03
PTK2	PRNP	40.09
PTK2	PXN	100
PTK2	SH3GL1	100
PTK2	SHC3	2.07
PTK2	SMAD4	12.84
PTK2	SMYD2	3.55
PTK2	TERF1	2.75
PTK2	TXN	5.45
PTK2	XRCC4	2.75
PTK2	ZYX	18.86
PTK2B	AKT3	22.91
PTK2B	ANXA2	31.98
PTK2B	ARHGDIB	30.21
PTK2B	BCL3	13.8
PTK2B	BIRC4	100
PTK2B	CBL	30606.5
PTK2B	CENTD2	30.21
PTK2B	CHGB	2.19
PTK2B	CRK	23228.7
PTK2B	CSDE1	1.95
PTK2B	CTTN	22.91
PTK2B	DDEF2	6831.01
PTK2B	DDEFL1	1.7
PTK2B	DOK1	4.1
PTK2B	EIF2S1	13.8
PTK2B	ESR1	100
PTK2B	ETS1	3.47
PTK2B	EZR	100
PTK2B	FGR	4.1
PTK2B	FHL2	13.8
PTK2B	FLJ20105	3.11
PTK2B	GAPDH	22.91
PTK2B	GDI2	1.95
PTK2B	HCLS1	13.8
PTK2B	HLCS	2.38
PTK2B	HNRPK	3.11
PTK2B	HSPA2	3.11
PTK2B	KCNIP1	2.67
PTK2B	KCNIP2	4.02
PTK2B	KCNIP4	2.06
PTK2B	KHDRBS2	2.68
PTK2B	LYPLAL1	2.42
PTK2B	MAGED1	2.83
PTK2B	MAP3K5	100
PTK2B	MAPK12	22.5
PTK2B	MTA1	17.86
PTK2B	MTCP1	3.11
PTK2B	NUDT3	1.95
PTK2B	PKM2	29.65
PTK2B	PPP5C	17.86
PTK2B	PRKAR1A	4.02
PTK2B	RAB14	2.72
PTK2B	RAB5B	2.72
PTK2B	RBM12	2.68
PTK2B	RPA2	2.68
PTK2B	RUVBL1	13.55
PTK2B	RUVBL2	9.71
PTK2B	S100A11	13.55
PTK2B	SOD1	9.79
PTK2B	SRXN1	2.42
PTK2B	STUB1	29.65
PTK2B	SUMO4	3.11
PTK2B	TGFB1I1	2145.91
PTK2B	TMSL3	2.42
PTK2B	TRIP10	21.7
PTK2B	TXN	22.91
PTK2B	UBB	13.8
PTK2B	UBTD2	2.42
PTK2B	VHL	13.8
PTK2B	VPS24	1.91
PTK2B	YWHAH	22.91
PTK2B	ZYX	152.07
PTK6	CTBP1	1.58
PTK6	IRF3	2.21
PTK6	MBNL3	3.69
PTK6	MTA1	2.25
PTK6	NFATC4	2.25
PTK6	PRKAR1A	4.26
PTK6	PXN	100
PTK6	RUVBL2	1.58
PTK6	SMAD2	34.96
PTK6	SMPX	4.87
PTK6	TRIM26	1.99
PTK6	TRIP10	2.43
PTK6	UHMK1	2.25
PTK6	XPO1	2.25
PXK	CSRP3	3.07
PXK	FGR	2.3
PXK	GNA12	14.22
PXK	MTA1	4.37
PXK	NFATC4	3.07
PXK	OTUD7B	4.29
PXK	PRKACA	5.66
PXK	PRKCB1	32.97
PXK	PRKD2	2.3
PXK	SCC-112	2.35
PXK	SOX10	4.29
PXK	TRIP10	32.97
PXK	UBE2L3	2.3
PXK	WDR45L	2.35
RAF1	AIRE	5.92
RAF1	BFAR	9.14
RAF1	CKM	1.73
RAF1	CSDE1	2.45
RAF1	CSRP3	3.22
RAF1	DDEFL1	2.83
RAF1	EIF2AK2	11.83
RAF1	EIF4B	9.14
RAF1	EIF4H	3.23
RAF1	HCLS1	4.57
RAF1	HLCS	4.02
RAF1	MAP2K1	100
RAF1	MTA1	91.84
RAF1	NEUROD1	3.22
RAF1	OTUD7B	6.03
RAF1	PPP1R8	70.96
RAF1	PRDX1	37.4
RAF1	PRKAG3	9.14
RAF1	RNUXA	4.57
RAF1	SARS	38.08
RAF1	SOX10	4.57
RAF1	SRXN1	4.02
RAF1	TIMM23	9.14
RAF1	ZYX	687.57
RAGE	CSNK2A2	2.84
RAGE	MAPK7	2.84
RAGE	MBNL3	1.6
RAGE	SMAD4	15.18
RAGE	SOX10	10.68
RET	CBFA2T3	2.75
RET	CTTN	7.75
RET	ETS1	2.7
RET	HNRPK	1.57
RET	PDPK1	100
RET	SHC3	100
RET	STAT3	100
RET	SUMO4	1.57
RET	TRIP10	17.43
RIOK1	C21orf66	1.79
RIOK1	MDM4	2.75
RIOK1	PPP1R8	1.9
RIOK1	YWHAH	5.45
RIPK2	CDKL3	1.67
RIPK2	CRK	1.69
RIPK2	HLCS	1.67
RIPK2	MAP2K7	14.91
RIPK2	MAPK8	3.68
RIPK2	NEUROD1	10.68
RIPK2	PRKCD	2.25
RIPK3	BAD	15.83
RIPK3	C21orf66	2.07
RIPK3	CBL	20.28
RIPK3	DDEFL1	1.67
RIPK3	EIF2AK2	2.84
RIPK3	FBP1	2.84
RIPK3	HLCS	1.67
RIPK3	MAPK1	20.02
RIPK3	NEUROD1	10.68
RIPK3	NFATC3	2.25
RIPK3	PLG	2
RPS6KA1	BAD	100
RPS6KA1	CEBPB	100
RPS6KA1	ESR2	100
RPS6KA1	ETV1	100
RPS6KA1	HCLS1	12.84
RPS6KA1	IRF3	16.93
RPS6KA1	MAPK1	1996.19
RPS6KA1	NFKBIB	100
RPS6KA1	PPP1R3A	100
RPS6KA1	PRKAR1A	1.57
RPS6KA1	RXRG	2.7
RPS6KA1	STUB1	7.61
RPS6KA1	TRIM24	12.61
RPS6KA1	ZAP70	7.75
RPS6KA1	ZYX	1.6
RPS6KA2	BCL3	34.96
RPS6KA2	C21orf66	3.69
RPS6KA2	CAMKK1	2.25
RPS6KA2	CITED1	7.87
RPS6KA2	CREB1	100
RPS6KA2	CRK	4.35
RPS6KA2	CSDC2	3.63
RPS6KA2	CSK	10.13
RPS6KA2	CSRP3	1.58
RPS6KA2	CTBP1	34.96
RPS6KA2	CTTN	1.6
RPS6KA2	DDEF2	1.88
RPS6KA2	DDEFL1	1.99
RPS6KA2	DDX25	2.6
RPS6KA2	DDX4	2.25
RPS6KA2	EIF4ENIF1	2.25
RPS6KA2	ETS1	7.87
RPS6KA2	GABPA	5.54
RPS6KA2	HDAC3	34.96
RPS6KA2	HTATIP	34.96
RPS6KA2	KCNIP3	67.58
RPS6KA2	MAPKAP1	1.83
RPS6KA2	MBNL3	2.6
RPS6KA2	MDM2	34.96
RPS6KA2	NAP1L1	7.87
RPS6KA2	NDUFA13	2.21
RPS6KA2	NFATC4	34.96
RPS6KA2	PARK7	2.25
RPS6KA2	PPP1R8	2.25
RPS6KA2	PPP2R5D	2.25
RPS6KA2	PSMC2	2.25
RPS6KA2	RAD23B	1.58
RPS6KA2	RBBP9	1.58
RPS6KA2	RELA	34.96
RPS6KA2	RNF4	2.25
RPS6KA2	RUVBL1	2.25
RPS6KA2	RUVBL2	2.25
RPS6KA2	S100A11	1.58
RPS6KA2	SAFB2	1.58
RPS6KA2	SMAD3	67.58
RPS6KA2	SMAD4	34.96
RPS6KA2	SOX2	2.97
RPS6KA2	SRXN1	1.99
RPS6KA2	TRIP10	28.62
RPS6KA2	TRIP4	34.96
RPS6KA2	UBE2V1	2.25
RPS6KA2	UBE2V2	2.25
RPS6KA2	VHL	2.25
RPS6KA2	XPO1	2.25
RPS6KA2	YWHAH	18.88
RPS6KA2	ZFP36	24.59
RPS6KA2	ZYX	4.28
RPS6KA3	ATF4	100
RPS6KA3	CDKN1B	100
RPS6KA3	CREB1	100
RPS6KA3	DAPK1	100
RPS6KA3	FOS	100
RPS6KA3	MTA1	12.84
RPS6KA3	NFATC4	100
RPS6KA3	PPP2R1A	2.75
RPS6KA3	RPA2	3.62
RPS6KA3	RRN3	100
RPS6KA3	TP53	100
RPS6KA4	ARID3A	3.18
RPS6KA4	C14orf106	1.93
RPS6KA4	C21orf66	3.74
RPS6KA4	ENO1	3.07
RPS6KA4	HCLS1	3.18
RPS6KA4	HLCS	1.61
RPS6KA4	LUZP1	1.9
RPS6KA4	MDM2	3.24
RPS6KA4	MTA1	3.24
RPS6KA4	NASP	2.28
RPS6KA4	NEUROD1	3.24
RPS6KA4	NFATC4	50.32
RPS6KA4	POU6F1	1.93
RPS6KA4	PPP1R13L	2.28
RPS6KA4	PRKACB	4.19
RPS6KA4	PSMA6	3.24
RPS6KA4	PSMA8	3.74
RPS6KA4	RBM38	1.93
RPS6KA4	RPS6KA2	50.32
RPS6KA4	RUVBL1	3.24
RPS6KA4	RUVBL2	3.24
RPS6KA4	SAFB2	3.24
RPS6KA4	STIP1	3.24
RPS6KA4	SUFU	3.24
RPS6KA4	TBX20	1.93
RPS6KA4	ZMYM3	1.9
RPS6KA4	ZYX	3.98
RPS6KA5	BMX	18.88
RPS6KA5	CAMKK1	1.58
RPS6KA5	CSRP3	1.58
RPS6KA5	DDEF2	1.88
RPS6KA5	DDEFL1	1.99
RPS6KA5	EIF4H	1.57
RPS6KA5	HCLS1	2.25
RPS6KA5	HLCS	1.99
RPS6KA5	IRF3	34.96
RPS6KA5	KLHL25	1.99
RPS6KA5	MAPK1	7035.6
RPS6KA5	MCM2	7.87
RPS6KA5	MDM4	5.54
RPS6KA5	MTA1	2.21
RPS6KA5	NEUROD1	24.59
RPS6KA5	PPP2R5D	2.21
RPS6KA5	PRKACA	34.33
RPS6KA5	PRKACB	2.91
RPS6KA5	PRKCD	34.96
RPS6KA5	RXRG	7.73
